2022-05-20 15:05:391 INFO  ReasonForTravelPage :31 - Clicking on Work,academic visit or business[[ChromeDriver: chrome on WINDOWS (310e5c19c3938210e6d69f7375f1c03f)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:571 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (310e5c19c3938210e6d69f7375f1c03f)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:637 INFO  DurationOfStayPage :40 - Clicking on longer than 6 months[[ChromeDriver: chrome on WINDOWS (310e5c19c3938210e6d69f7375f1c03f)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:26 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 15:05:317 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-20 15:05:422 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Chile from dropdown [[ChromeDriver: chrome on WINDOWS (889ee997973eafa0c2c83d09a9427f40)] -> xpath: //select[@id='response']]<br>
2022-05-20 15:05:617 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (889ee997973eafa0c2c83d09a9427f40)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:682 INFO  ReasonForTravelPage :31 - Clicking on Work,academic visit or business[[ChromeDriver: chrome on WINDOWS (889ee997973eafa0c2c83d09a9427f40)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:854 INFO  ReasonForTravelPage :40 - Clicking on reason For Travelling Continue Button [[ChromeDriver: chrome on WINDOWS (889ee997973eafa0c2c83d09a9427f40)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:920 INFO  DurationOfStayPage :40 - Clicking on longer than 6 months[[ChromeDriver: chrome on WINDOWS (889ee997973eafa0c2c83d09a9427f40)] -> xpath: //input[@id='response-1']]<br>
2022-05-20 15:05:829 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 15:05:731 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-20 15:05:825 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Colombia from dropdown [[ChromeDriver: chrome on WINDOWS (8c133b2055e41df884db12f3e3f685c5)] -> xpath: //select[@id='response']]<br>
2022-05-20 15:05:73 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (8c133b2055e41df884db12f3e3f685c5)] -> xpath: //button[contains(text(),'Continue')]]<br>
2022-05-20 15:05:255 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-20 15:05:513 INFO  StartPage :29 - Clicking on StartNowButtonProxy element for: DefaultElementLocator 'By.xpath: //body/div[@id='wrapper']/div[1]/main[1]/div[2]/div[1]/article[1]/section[1]/a[1]'<br>
2022-05-20 15:05:624 INFO  SelectNationalityPage :25 - Selecting nationality DropDownList Colombia from dropdown [[ChromeDriver: chrome on WINDOWS (f051cb0bb8cbf76c1ad6b431eeaa988f)] -> xpath: //select[@id='response']]<br>
2022-05-20 15:05:821 INFO  SelectNationalityPage :30 - Clicking on NationalityContinue[[ChromeDriver: chrome on WINDOWS (f051cb0bb8cbf76c1ad6b431eeaa988f)] -> xpath: //button[contains(text(),'Continue')]]<br>
